uniprotswissprot,Symbol,logFC,t,P.Value,adj.P.Val,B,DEG,DEG_up,DEG_down,sig,UniProt,Subcellular.location..CC.,Intramembrane,Topological.domain,Transmembrane
Q9HC29,NOD2,173246235980171,"4,158408326","0,00004217879719","0,0007665662394","-4,59511985",TRUE,TRUE,FALSE,significant,Q9HC29,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15998797, ECO:0000269|PubMed:25093298, ECO:0000269|PubMed:31649195, ECO:0000269|PubMed:34293401}; Lipid-anchor {ECO:0000269|PubMed:31649195, ECO:0000269|PubMed:34293401}. Basolateral cell membrane {ECO:0000269|PubMed:16203728, ECO:0000269|PubMed:17355968}. Cytoplasm {ECO:0000269|PubMed:14570728, ECO:0000269|PubMed:15998797, ECO:0000269|PubMed:19701189, ECO:0000269|PubMed:24790089, ECO:0000269|PubMed:25093298}. Mitochondrion {ECO:0000269|PubMed:19701189}. Note=Palmitoylation promotes localization to the cell membrane, where it detects bacterial invasion at the point of entry. {ECO:0000269|PubMed:34293401}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:20698950}.",,,
P47870,GABRB2,171346839116310,"5,658188257","0,00000003652004367","0,000001431051272","-4,59511985",TRUE,TRUE,FALSE,significant,P47870,"SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:P63137}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:19763268, ECO:0000269|PubMed:8264558}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P63138}.",,TOPO_DOM 26..244; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 327..489; /note=Cytoplasmic; /evidence=ECO:0000305,TRANSMEM 245..266; /note=Helical; /evidence=ECO:0000305; TRANSMEM 270..292; /note=Helical; /evidence=ECO:0000305; TRANSMEM 304..326; /note=Helical; /evidence=ECO:0000305; TRANSMEM 490..511; /note=Helical; /evidence=ECO:0000305
Q96FE7,PIK3IP1,166224655966143,"5,386457534","0,0000001481410069","0,000005107367846","-4,59511985",TRUE,TRUE,FALSE,significant,Q96FE7,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19088825}; Single-pass type I membrane protein {ECO:0000255}.,,TOPO_DOM 22..168; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 190..263; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 169..189; /note=Helical; /evidence=ECO:0000255
Q495A1,TIGIT,158730753039582,"4,757713911","0,000003083807416","0,00007510334355","-4,59511985",TRUE,TRUE,FALSE,significant,Q495A1,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19011627}; Single-pass type I membrane protein {ECO:0000269|PubMed:19011627}.,,TOPO_DOM 22..141; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 163..244; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 142..162; /note=Helical; /evidence=ECO:0000255
P16109,SELP,156527200595195,"4,346936902","0,00001908936629","0,0003824061831","-4,59511985",TRUE,TRUE,FALSE,significant,A0A024R8Y9,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28011641}; Single-pass type I membrane protein {ECO:0000305|PubMed:28011641}.,,TOPO_DOM 42..771; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 796..830; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 772..795; /note=Helical; /evidence=ECO:0000255
Q12809,KCNH2,150792448940119,"7,848985151",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,A0A090N8Q0,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18559421, ECO:0000269|PubMed:19412172, ECO:0000269|PubMed:26363003}; Multi-pass membrane protein {ECO:0000269|PubMed:18559421, ECO:0000269|PubMed:19412172}.",INTRAMEM 612..632; /note=Pore-forming; Name=Segment H5; /evidence=ECO:0000255,TOPO_DOM 1..403; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 425..450; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 472..495; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 517..520; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 542..547; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 569..611; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 633..638; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 660..1159; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 404..424; /note=Helical; Name=Segment S1; /evidence=ECO:0000255; TRANSMEM 451..471; /note=Helical; Name=Segment S2; /evidence=ECO:0000255; TRANSMEM 496..516; /note=Helical; Name=Segment S3; /evidence=ECO:0000255; TRANSMEM 521..541; /note=Helical; Voltage-sensor; Name=Segment S4; /evidence=ECO:0000255; TRANSMEM 548..568; /note=Helical; Name=Segment S5; /evidence=ECO:0000255; TRANSMEM 639..659; /note=Helical; Name=Segment S6; /evidence=ECO:0000255
Q5VZK9,CARMIL1,144071947171873,"4,128738563","0,00004766178441","0,0008433196347","-4,59511985",TRUE,TRUE,FALSE,significant,Q5VZK9,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19846667}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q6EDY6}. Cell membrane {ECO:0000269|PubMed:26578515}. Cell projection, lamellipodium {ECO:0000269|PubMed:19846667}. Note=Found on macropinosomes (PubMed:19846667). Colocalized with heterodimeric capping protein (CP) and F-actin in lamellipodia but not with F-actin in stress fibers (PubMed:19846667). {ECO:0000269|PubMed:19846667}.",,,
P06858,LPL,143575181966740,"5,140597606","0,0000005025959973","0,00001500874961","-4,59511985",TRUE,TRUE,FALSE,significant,A0A1B1RVA9,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P11151}; Peripheral membrane protein {ECO:0000250|UniProtKB:P11151}; Extracellular side {ECO:0000250|UniProtKB:P11151}. Secreted {ECO:0000269|PubMed:11342582, ECO:0000269|PubMed:11893776, ECO:0000269|PubMed:12641539, ECO:0000269|PubMed:1371284, ECO:0000269|PubMed:2340307, ECO:0000269|PubMed:24291057, ECO:0000269|PubMed:27578112, ECO:0000269|PubMed:30559189}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:27811232}. Note=Newly synthesized LPL binds to cell surface heparan proteoglycans and is then released by heparanase. Subsequently, it becomes attached to heparan proteoglycan on endothelial cells (PubMed:27811232). Locates to the plasma membrane of microvilli of hepatocytes with triglyceride-rich lipoproteins (TRL). Some of the bound LPL is then internalized and located inside non-coated endocytic vesicles (By similarity). {ECO:0000250|UniProtKB:P11151, ECO:0000269|PubMed:27811232}.",,,
P34947,GRK5,-101071956143665,"-8,858244274",0,0,"-4,59511985",TRUE,FALSE,TRUE,significant,P34947,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cell membrane; Peripheral membrane protein. Note=Predominantly localized at the plasma membrane; targeted to the cell surface through the interaction with phospholipids. Nucleus localization is regulated in a GPCR and Ca(2+)/calmodulin-dependent fashion.,,,
Q8IZD6,SLC22A15,142447989648523,"3,78533923","0,0001863209365","0,002716363127","-4,59511985",TRUE,TRUE,FALSE,significant,Q8IZD6,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:33124720}; Multi-pass membrane protein {ECO:0000255}.,,,TRANSMEM 22..42; /note=Helical; /evidence=ECO:0000255; TRANSMEM 111..131; /note=Helical; /evidence=ECO:0000255; TRANSMEM 141..161; /note=Helical; /evidence=ECO:0000255; TRANSMEM 165..187; /note=Helical; /evidence=ECO:0000255; TRANSMEM 201..221; /note=Helical; /evidence=ECO:0000255; TRANSMEM 226..246; /note=Helical; /evidence=ECO:0000255; TRANSMEM 303..323; /note=Helical; /evidence=ECO:0000255; TRANSMEM 338..358; /note=Helical; /evidence=ECO:0000255; TRANSMEM 368..388; /note=Helical; /evidence=ECO:0000255; TRANSMEM 401..420; /note=Helical; /evidence=ECO:0000255; TRANSMEM 433..453; /note=Helical; /evidence=ECO:0000255; TRANSMEM 462..482; /note=Helical; /evidence=ECO:0000255
Q96BS2,TESC,142378538722078,"3,690399751","0,0002670983872","0,003705701803","-4,59511985",TRUE,TRUE,FALSE,significant,Q96BS2,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18321853}. Cytoplasm {ECO:0000269|PubMed:18321853}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:18321853}. Cell projection, lamellipodium {ECO:0000269|PubMed:11696366}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q9JKL5}. Note=Colocalizes with SLC9A1 at the plasma membrane. {ECO:0000269|PubMed:18321853}.",,,
Q9BZL6,PRKD2,141770770972824,"6,029924891","0,000000004950615775","0,0000002367160507","-4,59511985",TRUE,TRUE,FALSE,significant,Q9BZL6,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17962809}. Cell membrane {ECO:0000250|UniProtKB:Q15139}. Nucleus {ECO:0000269|PubMed:17962809}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:18262756}. Note=Translocation to the cell membrane is required for kinase activation. Accumulates in the nucleus upon CK1-mediated phosphorylation after activation of G-protein-coupled receptors. Nuclear accumulation is regulated by blocking nuclear export of active PRKD2 rather than by increasing import. {ECO:0000269|PubMed:17962809}.",,,
P43403,ZAP70,138677008573702,"8,084425753",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,P43403,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9813084}. Cell membrane {ECO:0000269|PubMed:9813084}; Peripheral membrane protein {ECO:0000269|PubMed:9813084}. Note=In quiescent T-lymphocytes, it is cytoplasmic. Upon TCR activation, it is recruited at the plasma membrane by interacting with CD247/CD3Z. Colocalizes together with RHOH in the immunological synapse. RHOH is required for its proper localization to the cell membrane and cytoskeleton fractions in the thymocytes (By similarity). {ECO:0000250}.",,,
Q9Y4D7,PLXND1,138424815211162,"3,869528371","0,0001345578866","0,002047304514","-4,59511985",TRUE,TRUE,FALSE,significant,Q9Y4D7,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q3UH93}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q3UH93}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:24841563}.",,TOPO_DOM 47..1271; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1293..1925; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 1272..1292; /note=Helical; /evidence=ECO:0000255
Q13241,KLRD1,136914016261762,"6,118676547","0,00000000303027554","0,0000001530956189","-4,59511985",TRUE,TRUE,FALSE,significant,Q13241,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20952657, ECO:0000269|PubMed:9485206}; Single-pass type II membrane protein {ECO:0000255}.",,TOPO_DOM 1..10; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 32..179; /note=Extracellular; /evidence=ECO:0000255,TRANSMEM 11..31; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255
P07550,ADRB2,133913868752919,"4,07181477","0,00006013835658","0,001025671801","-4,59511985",TRUE,TRUE,FALSE,significant,P07550,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19584355, ECO:0000269|PubMed:20559325, ECO:0000269|PubMed:23166351, ECO:0000269|PubMed:25220262, ECO:0000269|PubMed:2831218, ECO:0000269|PubMed:7915137}; Multi-pass membrane protein {ECO:0000269|PubMed:19584355}. Early endosome {ECO:0000269|PubMed:20559325}. Golgi apparatus {ECO:0000269|PubMed:27481942}. Note=Colocalizes with VHL at the cell membrane (PubMed:19584355). Activated receptors are internalized into endosomes prior to their degradation in lysosomes (PubMed:20559325). Activated receptors are also detected within the Golgi apparatus (PubMed:27481942). {ECO:0000269|PubMed:19584355, ECO:0000269|PubMed:20559325, ECO:0000269|PubMed:27481942}.",,TOPO_DOM 1..34; /note=Extracellular; TOPO_DOM 59..71; /note=Cytoplasmic; TOPO_DOM 96..106; /note=Extracellular; TOPO_DOM 130..150; /note=Cytoplasmic; TOPO_DOM 175..196; /note=Extracellular; TOPO_DOM 221..274; /note=Cytoplasmic; TOPO_DOM 299..305; /note=Extracellular; TOPO_DOM 330..413; /note=Cytoplasmic,TRANSMEM 35..58; /note=Helical; Name=1; TRANSMEM 72..95; /note=Helical; Name=2; TRANSMEM 107..129; /note=Helical; Name=3; TRANSMEM 151..174; /note=Helical; Name=4; TRANSMEM 197..220; /note=Helical; Name=5; TRANSMEM 275..298; /note=Helical; Name=6; TRANSMEM 306..329; /note=Helical; Name=7
P23634,ATP2B4,130820382997741,"4,155396717","0,00004270664487","0,0007726632394","-4,59511985",TRUE,TRUE,FALSE,significant,P23634,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2137451}; Multi-pass membrane protein {ECO:0000255}. Cell projection, cilium, flagellum membrane {ECO:0000250|UniProtKB:Q6Q477}; Multi-pass membrane protein {ECO:0000255}.",,TOPO_DOM 1..92; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 114..150; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 172..356; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 377..409; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 428..840; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 861..870; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 892..911; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 935..952; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 975..993; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 1016..1025; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1048..1241; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 93..113; /note=Helical; /evidence=ECO:0000255; TRANSMEM 151..171; /note=Helical; /evidence=ECO:0000255; TRANSMEM 357..376; /note=Helical; /evidence=ECO:0000255; TRANSMEM 410..427; /note=Helical; /evidence=ECO:0000255; TRANSMEM 841..860; /note=Helical; /evidence=ECO:0000255; TRANSMEM 871..891; /note=Helical; /evidence=ECO:0000255; TRANSMEM 912..934; /note=Helical; /evidence=ECO:0000255; TRANSMEM 953..974; /note=Helical; /evidence=ECO:0000255; TRANSMEM 994..1015; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1026..1047; /note=Helical; /evidence=ECO:0000255
Q9HCH5,SYTL2,130608846730258,"6,469708076","0,000000000413476887","0,00000002636079233","-4,59511985",TRUE,TRUE,FALSE,significant,Q9HCH5,"SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:18812475}. Cell membrane {ECO:0000269|PubMed:18266782, ECO:0000269|PubMed:18812475}. Note=Recruited on vesicular structures in cytotoxic T-lymphocytes (CTL) by RAB27A. {ECO:0000269|PubMed:18812475}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:17182843}. Note=In the pancreatic alpha cells distributed in both peripheral and anterior regions. Localizes on the glucagon granules in the cell periphery. {ECO:0000269|PubMed:17182843}.",,,
P80723,BASP1,465311121477791,"7,506280982",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,P80723,"SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor. Cell projection, growth cone. Note=Associated with the membranes of growth cones that form the tips of elongating axons.",,,
Q9Y624,F11R,123227102780713,"4,914784264","0,00000148461446","0,00003922996039","-4,59511985",TRUE,TRUE,FALSE,significant,Q9Y624,"SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:11171323}. Cell membrane {ECO:0000269|PubMed:11171323}; Single-pass type I membrane protein {ECO:0000269|PubMed:11171323}. Note=Localized at tight junctions of both epithelial and endothelial cells. {ECO:0000269|PubMed:11171323}.",,TOPO_DOM 28..238; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 260..299; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 239..259; /note=Helical; /evidence=ECO:0000255
Q03167,TGFBR3,190358123089165,"7,291611418",0,"0,0000000002446658505","-4,59511985",TRUE,TRUE,FALSE,significant,A0A0A8KWK3,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P26342}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000250|UniProtKB:P26342}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P26342}. Note=Exists both as a membrane-bound form and as soluble form in serum and in the extracellular matrix. {ECO:0000250|UniProtKB:P26342}.",,TOPO_DOM 21..787; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 810..851; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 788..809; /note=Helical; /evidence=ECO:0000255
P05026,ATP1B1,122790624268437,"3,696976477","0,000260578705","0,003621503005","-4,59511985",TRUE,TRUE,FALSE,significant,A3KLL5,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34011520}; Single-pass type II membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:P07340}; Single-pass type II membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P14094}. Note=Colocalizes with OBSCN at the intercalated disk and sarcolemma in cardiomyocytes. Localizes in long striations at the level of Z and M lines. {ECO:0000250|UniProtKB:P14094}.",,TOPO_DOM 1..34; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 63..303; /note=Extracellular; /evidence=ECO:0000255,TRANSMEM 35..62; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255
P30273,FCER1G,117359560337915,"3,844591571","0,0001482644288","0,002209662628","-4,59511985",TRUE,TRUE,FALSE,significant,P30273,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8611682}; Single-pass type I membrane protein {ECO:0000269|PubMed:8611682}.,,TOPO_DOM 19..23; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 45..86; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 24..44; /note=Helical; /evidence=ECO:0000255
P19438,TNFRSF1A,114187778664170,"3,470967492","0,0005969693012","0,007446357759","-4,59511985",TRUE,TRUE,FALSE,significant,P19438,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22801493}; Single-pass type I membrane protein {ECO:0000269|PubMed:22801493}. Golgi apparatus membrane {ECO:0000269|PubMed:22801493}; Single-pass type I membrane protein {ECO:0000269|PubMed:22801493}. Secreted {ECO:0000269|PubMed:22801493}. Note=A secreted form is produced through proteolytic processing.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted. Note=Lacks a Golgi-retention motif, is not membrane bound and therefore is secreted.",,TOPO_DOM 30..211; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 233..455; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 212..232; /note=Helical; /evidence=ECO:0000255
P14222,PRF1,105496172494378,"4,355633129","0,00001839152592","0,0003712038385","-4,59511985",TRUE,TRUE,FALSE,significant,P14222,"SUBCELLULAR LOCATION: Cytolytic granule {ECO:0000269|PubMed:20038786, ECO:0000269|PubMed:24088571}. Secreted. Cell membrane {ECO:0000269|PubMed:20889983, ECO:0000269|PubMed:21037563}; Multi-pass membrane protein {ECO:0000269|PubMed:20889983, ECO:0000269|PubMed:21037563}. Endosome lumen {ECO:0000269|PubMed:20038786}. Note=Stored in cytolytic granules of cytolytic T-lymphocytes and secreted into the cleft between T-lymphocyte and target cell (PubMed:20038786). Inserts into the cell membrane of target cells and forms pores (PubMed:20889983). Membrane insertion and pore formation requires a major conformation change (PubMed:20889983). May be taken up via endocytosis involving clathrin-coated vesicles and accumulate in a first time in large early endosomes (PubMed:20038786). {ECO:0000269|PubMed:20038786, ECO:0000269|PubMed:20889983}.",,,TRANSMEM 129..149; /note=Beta stranded; Name=CH1; /evidence=ECO:0000250|UniProtKB:P10820; TRANSMEM 257..279; /note=Beta stranded; Name=CH2; /evidence=ECO:0000250|UniProtKB:P10820
Q08289,CACNB2,162108091699628,"4,815804782","0,000002358366178","0,00005938794831","-4,59511985",TRUE,TRUE,FALSE,significant,Q08289,"SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.",,,
P48426,PIP4K2A,94760452097847,"3,97381242","0,00008920268113","0,001430856613","-4,59511985",TRUE,TRUE,FALSE,significant,P48426,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O70172}. Nucleus {ECO:0000269|PubMed:20583997}. Lysosome {ECO:0000250|UniProtKB:O70172}. Cytoplasm {ECO:0000269|PubMed:20583997}. Photoreceptor inner segment {ECO:0000250|UniProtKB:O70172}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:O70172}. Note=May translocate from the cytosol to the cell membrane upon activation of tyrosine phosphorylation. May translocate from the inner to the outer segments of the rod photoreceptor cells in response to light (By similarity). Localization to the nucleus is modulated by the interaction with PIP4K2B. {ECO:0000250|UniProtKB:O70172, ECO:0000269|PubMed:20583997}.",,,
Q6ZWK4,RHEX,93236075037736,"4,54252754","0,000008144269962","0,0001807263","-4,59511985",TRUE,TRUE,FALSE,significant,Q6ZWK4,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25092874}; Single-pass membrane protein {ECO:0000255}.,,,TRANSMEM 9..29; /note=Helical; /evidence=ECO:0000255
P30203,CD6,91156732630683,"5,110709372","0,0000005813212804","0,00001729538461","-4,59511985",TRUE,TRUE,FALSE,significant,P30203,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15048703, ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806, ECO:0000269|PubMed:16914752, ECO:0000269|PubMed:17371992, ECO:0000269|PubMed:17601777, ECO:0000269|PubMed:24945728, ECO:0000269|PubMed:9013954}; Single-pass type I membrane protein {ECO:0000269|PubMed:17371992}. Note=Detected at the immunological synapse, i.e, at the contact zone between antigen-presenting dendritic cells and T-cells (PubMed:15294938, PubMed:16352806). Colocalizes with the TCR/CD3 complex at the immunological synapse (PubMed:15294938). {ECO:0000269|PubMed:15294938}.; SUBCELLULAR LOCATION: [Soluble CD6]: Secreted {ECO:0000269|PubMed:17601777}. Note=The origins of the secreted form are not clear, but it might be created by proteolytic shedding of the ectodomain. {ECO:0000305}.",,TOPO_DOM 18..402; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 424..668; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 403..423; /note=Helical; /evidence=ECO:0000255
Q9UGH3,SLC23A2,78676099670652,"6,351483145","0,0000000008159001547","0,0000000471519852","-4,59511985",TRUE,TRUE,FALSE,significant,A0A140VK48,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19379732}; Multi-pass membrane protein {ECO:0000269|PubMed:19379732}.,INTRAMEM 289..302; /note=Helical; /evidence=ECO:0000255,TOPO_DOM 9..110; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 132..139; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 161; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 183..218; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 240..266; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 285..288; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 303..309; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 331..371; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 393..417; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 439..461; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 483..485; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 507..516; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 538..547; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 569..650; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 111..131; /note=Helical; /evidence=ECO:0000255; TRANSMEM 140..160; /note=Helical; /evidence=ECO:0000255; TRANSMEM 162..182; /note=Helical; /evidence=ECO:0000255; TRANSMEM 219..239; /note=Helical; /evidence=ECO:0000255; TRANSMEM 267..284; /note=Helical; /evidence=ECO:0000255; TRANSMEM 310..330; /note=Helical; /evidence=ECO:0000255; TRANSMEM 372..392; /note=Helical; /evidence=ECO:0000255; TRANSMEM 418..438; /note=Helical; /evidence=ECO:0000255; TRANSMEM 462..482; /note=Helical; /evidence=ECO:0000255; TRANSMEM 486..506; /note=Helical; /evidence=ECO:0000255; TRANSMEM 517..537; /note=Helical; /evidence=ECO:0000255; TRANSMEM 548..568; /note=Helical; /evidence=ECO:0000255
Q8TEZ7,PAQR8,77023758269921,"5,043278867","0,0000008052842424","0,00002310302971","-4,59511985",TRUE,TRUE,FALSE,significant,B3KXW6,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11676489, ECO:0000303|PubMed:23763432}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with a lysosomal protein CTSD/cathepsin D. {ECO:0000269|PubMed:11676489}.",,TOPO_DOM 1..75; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 97..111; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 133..174; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 196..213; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 235..243; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 265..283; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 305..319; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 341..354; /note=Extracellular; /evidence=ECO:0000255,TRANSMEM 76..96; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 112..132; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 175..195; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 214..234; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 244..264; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 284..304; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 320..340; /note=Helical; Name=7; /evidence=ECO:0000255
